ontology ID	label	editor preferred term	has curation status	alternative term	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	logical type	type	parent class
fordisc:BumpsOnAuricularSurface	Bumps				5. Bumps: Most, or all, of the joint surface is covered by low, rounded bony exostoses, much like little irregular pillows. Part of the surface may be flat, but over one-half of it is bumpy. One is often reminded of lentils squished onto the joint surface. The bumps can be discrete low elevations or confluent, in which case the raised areas have irregular margins.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 9-11.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:AuricularSurfaceCharacteristicsLabel	
fordisc:AuricularSurfaceTextureLabel	Categorical label about auricular surface texture				A category label that is used to describe the surface texture of the auricular surface in a sacroiliac joint.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 11.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""					subclass		obo:OBI_0000963
fordisc:SmoothAuricularSurfaceTexture	Smooth				1. Smooth: Most, or all, of the joint surface appears to be smooth to slightly granular.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 11.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:AuricularSurfaceTextureLabel	
fordisc:MicroporosityOnAuricularSurface	Microporosity				2 Microporosity: At least one-half of the surface has a porous appearance with apertures less than 0.5 mm in diameter. The symphyseal face looks as if it is covered by many closely spaced pinpricks.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 11.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:AuricularSurfaceTextureLabel	
fordisc:MacroporosityOnAuricularSurface	Macroporosity				3. Macroporosity: At least one-half of the surface is porous, with most, or all, of the apertures exceeding 0.5 mm in diameter. Here the surface looks as if it was penetrated by multiple closely spaced pin heads (the large end of the same shirt pin mentioned above).	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 11.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:AuricularSurfaceTextureLabel	
fordisc:DorsalPubicSymphysealMarginLabel	Categorical label about dorsal pubic symphyseal margin morphology				A category label that is used to describe the dorsal part of the pubic symphysis.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 7/8.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""					subclass		obo:OBI_0000963
fordisc:SerratedDorsalSymphysealMargin	Serrated				1. Serrated: The dorsal margin of the symphyseal face is irregular because ridges and furrows typical of pronounced billowing extend uninterrupted to the edge of the bone.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 7.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:DorsalPubicSymphysealMarginLabel	
fordisc:FlatteningOfDorsalDemifaceIncomplete	Flattening incomplete				2. Flattening incomplete: A well-defined flattened area at least 1 cm long is present where the symphyseal face meets the dorsal margin. Flattening usually starts in the superior part of the dorsal demiface. Billowing is also present on the dorsal demiface, and it typically produces an undulating edge to the pubic symphysis, although it is not as extreme as what is found in Serrated specimens. The undulating edge usually occurs in the inferior part of the symphyseal face.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 7.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:DorsalPubicSymphysealMarginLabel	
fordisc:FlatteningOfDorsalDemifaceComplete	Flattening complete				3. Flattening complete: There is a rather obvious area of flattening that completely (or almost entirely) covers the symphyseal face where it meets the dorsal margin. This flattening seemingly occurs partly through a coalescence of billows. A small area at the inferior end of the dorsal margin occasionally retains an undulating appearance.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 7.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:DorsalPubicSymphysealMarginLabel	
fordisc:RimOnDorsalSymphysealMargin	Rim				4. Rim: An elevated bony rim demarcates a flat or, infrequently, an irregular face. The rim projects slightly above the symphyseal face, and its crest can be blunt or sharp. The rim does not have to extend along the entire dorsal margin to be scored as present, but it must be at least 1 cm long. The 1 cm rule pertains to either a continuous rim or discontinuous segments that together sum to that length. A rim typically develops first along the superior part of the dorsal margin. It can, however, occur anywhere along the dorsal margin.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 7/8.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:DorsalPubicSymphysealMarginLabel	
fordisc:BreakdownOfDorsalSymphysealMargin	Breakdown				5. Breakdown: The dorsal margin where the Rim is located shows evidence of breakdown, specifically a pitting and erosion of the edge of the pubic symphysis. The breakdown must exceed 1 cm in length either in one spot or when two or more areas of erosion are combined. Care must be taken to differentiate antemortem degeneration of the margin from postmortem damage, which is of no concern. Antemortem destruction attributable to large parity pits in females that can undercut the dorsal margin is not considered breakdown in the sense of the term as used here. It might not be possible to score those specimens; when that occurs, the component is simply missing data.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 8.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:DorsalPubicSymphysealMarginLabel	
fordisc:DorsalPubicSymphysealTextureLabel	Categorical label about dorsal pubic symphyseal texture				A category label that is used to describe the texture of the dorsal demiface of the pubic symphysis.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 4/5.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""					subclass		obo:OBI_0000963
fordisc:SmoothDorsalPubicSymphysealTexture	Smooth (fine grained)				1. Smooth (fine grained): Smooth to fine-grained bone extends across most, or all, of the dorsal demiface.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 5.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:DorsalPubicSymphysealTextureLabel	
fordisc:CoarseGrainedDorsalPubicSymphysealTexture	Coarse grained (little net)				2. Coarse grained (little net): Coarse-textured bone covers over one-third of the dorsal demiface. The surface looks like packed fine sand, similar to fine-grained sandpaper. Americans will perhaps recognize it best as the surface of a sugar cube.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 5.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:DorsalPubicSymphysealTextureLabel	
fordisc:MicroporosityOnDorsalPubicSymphysis	Microporosity				3. Microporosity: Porous bone covers over one-third of the dorsal demiface. It looks as if the surface was pierced by closely packed pin pricks.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 5.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:DorsalPubicSymphysealTextureLabel	
fordisc:MacroporosityOnDorsalPubicSymphysis	Macroporosity				4. Macroporosity: Deep pits cover over one-third of the dorsal demiface, giving it an irregular appearance. The pits are at least 0.5 mm in diameter, and are generally spaced close together. Sometimes the symphyseal surface is so irregular from pitting that it resembles the edge of a sponge. The surface looks as if it was pierced by closely packed pin heads (the bulbous end of the same shirt or blouse pin in the previous description).	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 5.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:DorsalPubicSymphysealTextureLabel	
fordisc:CranialStureObliterationLabel	Categorical label about cranial suture obliteration				A category label that is used to describe the obliteration of cranial sutures.			"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""					subclass		obo:OBI_0000963
fordisc:AbsenceOfCranialStureObliterationLabel	Categorical label about absence of cranial suture obliteration				A category label that is used to describe the degree to which a cranial suture is obliterated.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 13-15.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""					subclass		fordisc:CranialStureObliterationLabel
fordisc:OpenSuture	Open				1. Open: The suture is visible along its entire length, and there is a noticeable gap between the bones.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 13-15.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:AbsenceOfCranialStureObliterationLabel	
fordisc:JuxtaposedStureMargins	Juxtaposed				2. Juxtaposed: The suture is visible along its entire length, but the suture is narrow because the bones are tightly juxtaposed. If there are any bony bridges they are rare and small, sometimes with a trace of the original suture still evident.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 13-15.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:AbsenceOfCranialStureObliterationLabel	
fordisc:OpenOrJuxtaposedSuture	Open (open and juxtaposed)				1. Open (and juxtaposed): The suture is visible along its entire length, and there is a noticeable gap between the bones.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 15.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:AbsenceOfCranialStureObliterationLabel	
fordisc:PartiallyObliteratedSuture	Partially obliterated				3. Partially obliterated: The suture is partially obscured. There is no trace of the original suture in the bony bridges.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 13-15.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:AbsenceOfCranialStureObliterationLabel	
fordisc:PunctuatedSutureObliteration	Punctuated				4. Punctuated: Only remnants of the suture are present. They appear as scattered small points or grooves each no more than two millimeters long.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 13-15.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:AbsenceOfCranialStureObliterationLabel	
fordisc:ObliteratedSture	Obliterated				5. Obliterated: There is no evidence of a suture.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 13-15.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:AbsenceOfCranialStureObliterationLabel	
fordisc:PosteriorAuricularIlliacExostosesLabel	Categorical label about posterior auricular illiac exostoses morphology				A category label that is used to describe the morphology of the medial surface of the posterior ilium where ligaments attach.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 11/12.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""					subclass		obo:OBI_0000963
fordisc:SmoothPosteriorAuricularRegion	Smooth (no exostoses or spicules)				1. Smooth: The surface is often elevated in this area, but shows no evidence of discrete bony elevations. At most there are a few isolated small exostoses projecting from the bone surface.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 11/12.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:PosteriorAuricularIlliacExostosesLabel	
fordisc:RoundedPosteriorAuricularExostoses	Rounded exostoses				2. Rounded exostoses: Definite raised areas of bone with rounded crests dominate the scoring area.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 11/12.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:PosteriorAuricularIlliacExostosesLabel	
fordisc:PointedPosteriorAuricularExostoses	Pointed exostoses				3. Pointed exostoses: Over one-half of the rough area where ligaments attach is dominated by sharply pointed, but short, elevations of bone.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 11/12.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:PosteriorAuricularIlliacExostosesLabel	
fordisc:JaggedPosteriorAuricularExostoses	Jagged exostoses				4. Jagged exostoses: The raised areas of bone have a jagged appearance, and round or sharp exostoses dominate the rough area where ligaments attach in life. The exostoses are tall, extending several millimeters upward from the original bone surface.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 11/12.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:PosteriorAuricularIlliacExostosesLabel	
fordisc:TouchingPosteriorAuricularExostoses	Touching exostoses				5. Touching exostoses: There is a pronounced growth of bone with a relatively flat top, usually roughly oval, where exostoses touch the sacrum.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 11/12.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:PosteriorAuricularIlliacExostosesLabel	
fordisc:FusionOfIliumAndSacrum	Fusion				6. Fusion: The ilium and sacrum are fused by exostoses in this area.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 11/12.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:PosteriorAuricularIlliacExostosesLabel	
fordisc:PubicProtuberanceLabel	Categorical label about pubic protuberance				A category label that is used to describe the presence of a superior protuberance on a pubic symphysis.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 5.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""					subclass		obo:OBI_0000963
fordisc:NoPubicProtuberance	No protuberance				1. No protuberance: Deep to shallow billowing is present in the superior part of the symphyseal face. There are no signs of a bony protuberance. In young individuals, this part of the symphyseal face can be poorly differentiated from the non-articular portion of the pubis immediately lateral to the joint. This stage is on a symphyseal face characterized by a youthful ridge-and-valley surface.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 5.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:FusionOfIliumAndSacrum	
fordisc:EarlyPubicProtuberance	Early protuberance				2. Early protuberance: A distinct bony knob of variable dimensions with well-defined margins is visible in the superior part of the symphyseal face. It projects above the plane(s) defined by the immediately adjacent symphyseal face (i.e., the superior portions of the dorsal and ventral demifaces, where the latter can be characterized by ventral beveling). The surface of the bony protuberance is typically smooth to fine grained. The bony knob often reminds one of a split pea stuck on the bone.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 5.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:FusionOfIliumAndSacrum	
fordisc:LatePubicProtuberance	Late protuberance				3. Late protuberance: The superior part of the symphyseal face is raised somewhat above the rest of the articulation surface. The elevated area is typically located on the ventral side of the midline. The margins of the slightly raised area tend to be poorly defined. Thus the Late Protuberance is more completely integrated with the rest of the symphyseal face than the distinctly knob-like Early Protuberance. Integration is partly a result of ventral rampart formation. Late Protuberance should not be confused with a narrow raised rim that can border the cranial end of the symphyseal face in many specimens. For a Late Protuberance to be scored as present, the slightly raised area must extend onto the symphyseal face; that is, it is not restricted to the margin that can feature a pronounced rim. Occasionally, the superior part of the symphyseal face can be isolated by marked pitting of the middle symphyseal surface, but these specimens should not be considered as a Late Protuberance stage. For Late Protuberance to be present, the slightly raised area must be visible on a rather smooth symphyseal face.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 5.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:FusionOfIliumAndSacrum	
fordisc:IntegratedPubicProtuberance	Integrated				4. Integrated: The symphyseal face’s superior end displays no signs of a low bony elevation. The area where the protuberance was formerly present is fully integrated with the rest of the symphyseal face. That is, the smooth to irregular (usually pitted) symphyseal face is essentially flat. This stage, the absence of a raised area, is distinguishable from Stage 1, No Protuberance, because the superior portion of the symphyseal face is flat, not the ridge-and-valley surface typical of the initial No Protuberance stage. The Integrated stage also frequently has a narrow elevated rim demarcating the superior symphyseal surface. In addition, do not confuse that narrow rim with the previous Late Protuberance stage if the elevated portion is confined to a narrow rim that borders an otherwise flat face.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 5.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:FusionOfIliumAndSacrum	
fordisc:PubicSymphysealReliefLabel	Categorical label about pubic symphyseal relief morphology				A category label that is used to describe the relief of a pubic symphysis.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 3/4.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""					subclass		obo:OBI_0000963
fordisc:SharpbillowingSymphysealRelief	Sharp billowing				1. Sharp billowing: Sharply crested ridges of bone cover at least half of the surface. Deep furrows that extend completely across the symphyseal face separate distinct ridges. The deepest furrows cut into the ventral and dorsal margins of the symphyseal face, interrupting the edge of the bone and giving it a jagged appearance. The distance between the high and low points of adjacent ridges and furrows can often be 3 mm or more. Occasionally, round instead of sharp crests occur on the high ridges in specimens that otherwise have deep furrows exceeding 3 mm. Such specimens are also considered examples of Sharp Billowing. Sharp Billowing has only been seen in teenagers.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 4.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:PubicSymphysealReliefLabel	
fordisc:SoftDeepBillowingSymphysealRelief	Soft, deep billowing				2. Soft, deep billowing: Softly crested to low billows separated by deep furrows extend across at least half of the surface, typically the dorsal demiface. The furrows do not appear as if they have been filled in with bone. The distance between high and low points of adjacent ridges and furrows is 3 mm or less.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 4.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:PubicSymphysealReliefLabel	
fordisc:SoftShallowBillowingSymphysealRelief	Soft, shallow billowing				3. Soft, shallow billowing: Low but clearly visible and discrete billows separated by shallow furrows are present on at least half of the dorsal demiface. The remnants of an earlier ridge and furrow system dominate the dorsal demiface, and the furrows look as if they were partially filled with bone. Billows extend most or all of the way across the dorsal demiface, and in some individuals they reach the ventral margin.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 4.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:PubicSymphysealReliefLabel	
fordisc:ResidualBillowingOfSymphysealRelief	Residual billowing				4. Residual billowing: Billows are barely elevated above the symphyseal face, and they blend into one another to form low and indistinct raised areas that lack clearly defined furrows between them. The slightly raised areas, however, are still an important element of the surface, and they almost invariably occur on the inferior half of the face, often in the dorsal demiface. Individual billows usually cross only part of the symphyseal face, typically less than one-half its width. There must be two or more adjacent raised areas corresponding to billows to qualify as Residual Billowing. A single isolated bony elevation is not sufficient to be classified as Residual Billowing; instead, such specimens are considered Flat.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 4.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:PubicSymphysealReliefLabel	
fordisc:FlatSymphysealRelief	Flat				5. Flat: More than one-half of the symphyseal face within well-defined margins is flat or slightly recessed, especially if surrounded by a well-developed Rim (see below). Occasionally small, flat, pillows of bone give the surface a pebbly appearance. The remainder of the symphyseal face does not conform to Residual Billowing (i.e., there is no more than one discrete low raised area). Sometimes there is a gap where the ventral rampart has failed to extend along the entire ventral edge of the pubis (see below); when that occurs, the surface within the gap does not receive a score.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 4.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:PubicSymphysealReliefLabel	
fordisc:IrregularSymphysealRelief	Irregular				6. Irregular: Pitting, which can be deep, covers more than one-half of the symphyseal face, giving it an irregular and disfigured appearance. The pits can be accompanied by small, sharp exostoses scattered across the face. Occasionally, in old people an otherwise flat face is thickly covered by rounded sharp exostoses of bone. Pitting in such specimens might be minor, but the bone is still classified as Irregular. Similar to the Flat category, the scored part of the symphyseal face does not include the ventral gap, if present. In Irregular specimens, the margins of the symphyseal face are typically defined by the Rim and Breakdown stages of the Ventral and Dorsal Margin components.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 4.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:PubicSymphysealReliefLabel	
fordisc:SuperiorInferiorPosteriorAuricularIlliacExostosesLabel	Categorical label about superior/inferior posterior auricular illiac exostoses morphology				A category label that is used to describe superior or inferior posterior illiac exostoses.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 11/12.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""					subclass		obo:OBI_0000963
fordisc:NoSuperiorInferiorPosteriorAuricularIlliacExostoses	Smooth				1. Smooth: The surface is often elevated in this area, but shows no evidence of discrete bony elevations. At most there are a few isolated small exostoses projecting from the bone surface.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 12.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:SuperiorInferiorPosteriorAuricularIlliacExostosesLabel	
